Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
Bullitt;1968;Taylor & Vallejo Streets (Russian Hill);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;SF General Hospital Center (1001 Potrero Avenue, Potrero Hill);SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;McLaren Park (Visitacion  Valley);McLaren Park is the 2nd largest park in San Francisco, after Golden Gate Park.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Mark Hopkins Hotel (999 California Street);The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Marina Green (Marina District);Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Mansell & University Streets (Visitacion  Valley);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Larkin & Francisco Streets (Russian Hill);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Larkin & Chestnut Streets (Russian Hill);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Kennedy Hotel (226 Embarcadero at Howard Street);Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;John Muir Drive (Lake Merced);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Intersection of York & Peralta (Bernal Heights);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Filbert & Taylor Streets (Russian Hill);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Enrico's Café (504 Broadway);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Columbus & Lombard Streets (North Beach);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Cesar Chavez & Mission Street (Mission);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Candlestick Park Exit, Highway 101;;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Café Cantata (2040 Union Street);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Brocklebank Apartments (1000 Mason Street);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;Bay Bridge;Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;2700 Vallejo Street (Pacific Heights);;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;20th & Vermont Streets (Potrero Hill);The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.;"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Bullitt;1968;1153-57 Taylor Street;Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake);"Warner Brothers / Seven Arts
Seven Arts";Warner Brothers;Peter Yates;Alan R. Trustman;Steve McQueen;Jacqueline Bisset;Robert Vaughn
Petulia;1968;Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park;"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden";Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;Pier 43 1/2;;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;Cala Foods (California Street and Hyde);;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;307 Filbert Street;;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;2417 Franklin Street;;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Petulia;1968;Fort Point (Presidio, Golden Gate National Recreation Area);Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.;Warner Brothers / Seven Arts;Warner Brothers / Seven Arts;Richard Lester;Lawrence B. Marcus;Julie Christie;George C. Scott;Richard Chamberlain
Psych-Out;1968;;;Dick Clark Productions;American International Pictures (AIP);Richard Rush;Betty Tusher;Jack Nicholson;Susan Strasberg;Dean Stockwell
The Love Bug;1968;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Walt Disney Productions;Buena Vista Distribution;Robert Stevenson;Bill Walsh;Dean Jones;Michele Lee;David Tomlinson
The Love Bug;1968;100 Block of Lombard Street;Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.;Walt Disney Productions;Buena Vista Distribution;Robert Stevenson;Bill Walsh;Dean Jones;Michele Lee;David Tomlinson
Yours, Mine and Ours;1968;;;Desilu Productions;United Artists;Melville Shavelson;Bob Carroll, Jr.;Lucille Ball;Henry Fonda;Van Johnson
Take the Money and Run;1969;Mission Street;;American Broadcasting Company (ABC);Cinerama Releasing Corporation;Woody Allen;Woody Allen;Woody Allen;Janet Margolin;
Take the Money and Run;1969;Golden Gate Park;;American Broadcasting Company (ABC);Cinerama Releasing Corporation;Woody Allen;Woody Allen;Woody Allen;Janet Margolin;
Take the Money and Run;1969;Bank of America (1455 Stockton Street);;American Broadcasting Company (ABC);Cinerama Releasing Corporation;Woody Allen;Woody Allen;Woody Allen;Janet Margolin;
They Call Me MISTER Tibbs;1970;;;Mirisch Corporation;United Artists;Gordon Douglas;Alan R. Trustman;Sidney Poitier;Martin Landau;Barbara McNair
Dirty Harry;1971;Marina Green, Marina District;Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Washington Square, North Beach;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;The Embarcadero;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;San Francisco Drydock (20th and Illinois Streets);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Portsmouth Square (Chinatown);In 1847 the first public school in California was erected on what would become Portsmouth Square.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Mt. Davidson Cross, Mt. Davidson;The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Mission Dolores Park (Mission District);The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Kezar Stadium, Golden Gate Park;The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Holiday Inn Select Downtown Hotel (750 Kearney Street);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Hall of Justice (850 Bryant Street);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Forest Hill Station- MUNI;;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Dante Building (1606 Stockton Street at Union);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;California Hall (625 Polk Street, Van Ness/Civic Center);;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Dirty Harry;1971;Bank of America Building (555 California Street);The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.;The Malpaso Company;Warner Brothers;Don Siegel;Harry Julian Fink;Clint Eastwood;Harry Guardino;
Harold and Maude;1971;Conservatory of Flowers (Golden Gate Park);The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.;Mildred Lewis and Colin Higgins Productions;Paramount Pictures;Hal Ashby;Colin Higgins;Ruth Gordon;Bud Cort;
Harold and Maude;1971;Sutro Baths (Point Lobos Avenue);;Mildred Lewis and Colin Higgins Productions;Paramount Pictures;Hal Ashby;Colin Higgins;Ruth Gordon;Bud Cort;
Harold and Maude;1971;Golden Gate Park;;Mildred Lewis and Colin Higgins Productions;Paramount Pictures;Hal Ashby;Colin Higgins;Ruth Gordon;Bud Cort;
The Organization;1971;;;The Mirisch Corporation;United Artists;Don Medford;James R. Webb;Sidney Poitier;Barbara McNair;
Play it Again, Sam;1972;Balboa at 22nd Avenue;;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
Play it Again, Sam;1972;The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park);The theater closed in 1985.;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
Play it Again, Sam;1972;Surf Theater (4520 Irving Street);;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
Play it Again, Sam;1972;Hyde Street Cable Car;;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
Play it Again, Sam;1972;Aquatic Park (Jefferson Street);Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
Play it Again, Sam;1972;15-17 Fresno Street;;Paramount Pictures;Paramount Pictures;Herbert Ross;Woody Allen;Woody Allen;Diane Keaton;Tony Roberts
The Candidate;1972;Westin St. Francis Hotel (335 Powell Street, Union Square);The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.;Redford-Ritchie Productions;Warner Bros. Pictures;Michael Ritchie;Jeremy Larner;Robert Redford;Peter Boyle;
What's Up Doc?;1972;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;San Francisco Hilton (333 O'Farrell Street);;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;Lombard Street between Hyde and Leavenworth;;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;Hyde Street Pier;;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;Chinatown;First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;Alta Plaza Park (Steiner Street);The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
What's Up Doc?;1972;22nd Avenue & Balboa Street (Richmond District);;Warner Bros. Pictures;Warner Bros. Pictures;Peter Bogdanovich;Peter Bogdanovich & Buck Henry;Barbra Streisand;Ryan O'Neal;
American Graffiti;1973;Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District);"This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.";Universal Pictures;Universal Pictures';George Lucas;George Lucas;Richard Dreyfuss;Ron Howard;Paul Le Mat
American Graffiti;1973;3355 Geary Blvd.;;Universal Pictures;Universal Pictures';George Lucas;George Lucas;Richard Dreyfuss;Ron Howard;Paul Le Mat
